text,length,words,spam
mark work tomorrow he get out at hi work is by your hous so he can meet u afterward,83,19,0
no wonder co i dun rem see a silver car but i thk i saw a black one,67,18,0
awesom lem me know whenev you re around,39,8,0
you will be in the place of that man,36,9,0
up to ü ü wan come then come lor but i din c ani stripe skirt,61,16,0
i m gon na say no sorri i would but as normal am start to panic about time sorri again are you see on tuesday,109,25,0
then whi no one talk to me,26,7,0
fine do you rememb me,21,5,0
u know we watchin at lido,25,6,0
hey someth came up last min think i wun be sign up tmr hee,58,14,0
i just saw ron burgundi captain a parti boat so yeah,52,11,0
sun ah thk mayb can if dun have anythin on thk have to book e lesson e pilat is at orchard mrt u noe hor,104,25,0
i got it befor the new year co yetund said she want to surpris you with it but when i didnt see money i return it mid januari befor the day return period end,157,34,0
no ye pleas been swim,21,5,0
i m realli sorri i lit your hair on fire,40,10,0
remind me how to get there and i shall do so,44,11,0
u have a secret admir reveal who think u r so special call to opt out repli reveal stop per msg recd cust care,110,24,1
are you stay in town,20,5,0
want to funk up ur fone with a weekli new tone repli tonesu thi text www rington co uk the origin n best tone gbp network oper rate appli,137,29,1
oh ye i ve just been a littl under the weather so i ve kind of been coccoon at home,83,20,0
sexi sexi cum and text me im wet and warm and readi for some porn u up for some fun thi msg is free recd msg p inc vat cancel text stop,135,32,1
hi it jess i dont know if you are at work but call me when u can im at home all eve xxx,87,23,0
i am back bit long co of accid on a had to divert via wadebridg i had a brilliant weekend thank speak soon lot of love,118,26,0
hm good morn headach anyon,26,5,0
if u laugh realli loud if u talk spontan if u dont care what other feel u are probabl with your dear best friend goodeven dear,126,26,0
we got a divorc lol she s here,30,8,0
that said can you text him one more time,40,9,0
height of recycl read twice peopl spend time for earn money and the same money is spent for spend time good morn keep smile,123,24,0
sorri vikki i m watch olav mandara movi kano in trishul theatr wit my frnd,74,15,0
he remain a bro amongst bro,27,6,0
no on the way home so if not for the long dri spell the season would have been over,83,19,0
ofcours i also upload some song,31,6,0
they did t play one day last year know even though they have veri good team like india,86,18,0
a cute thought for friendship it not necessari to share everi secret with ur close frnd but watev u share should be true,120,23,0
got c i lazi to type i forgot ü in lect i saw a pouch but like not v nice,73,20,0
aight i ve been set free think you could text me blake s address it occur to me i m not quit as sure what i m do as i thought i wa,130,33,0
or ü go buy wif him then i meet ü later can,43,12,0
if i wa i wasn t pay attent,27,8,0
no i dont want to hear anyth,28,7,0
somewhr someon is sure made u and god ha decid a perfect time to make u meet dat person till den enjoy ur crush,111,24,0
sunshin quiz win a super soni dvd record if you cannam the capit of australia text mquiz to b,93,19,1
did u got that person stori,27,6,0
the messag sent is askin for dollar shoul i pay or,50,11,0
i send the print out da,23,6,0
date servic cal l boxskch,25,5,1
i wnt to buy a bmw car urgent it vri urgent but hv a shortag of lac there is no sourc to arng di amt lac that my prob,117,29,0
arr birthday today i wish him to get more oscar,47,10,0
do you know whi god creat gap between your finger so that one who is made for you come fill those gap by hold your hand with love,129,28,0
i wish that i wa with you hold you tightli make you see how import you are how much you mean to me how much i need you in my life,129,31,0
pansi you ve been live in a jungl for two year it my drive you should be more worri about,89,20,0
we have pizza if u want,23,6,0
revers is cheat that is not mathemat,36,7,0
u need my presnt alway bcz u cant mi love jeevithathil irulina neekunna prakasamanu sneham prakasam ennal prabha that mn prabha is love got it dont mi me,153,28,0
ela kano il download come wen ur free,37,8,0
nah i m a perpetu dd,20,6,0
send to someon els,18,4,0
xma iscom ur award either cd gift voucher free entri r weekli draw txt music to tnc www ldew comwinppmxagesubscript,115,20,1
hey so thi sat are we go for the intro pilat onli or the kickbox too,68,16,0
i think i m wait for the same bu inform me when you get there if you ever get there,83,20,0
are you free now can i call now,31,8,0
hous maid is the murder coz the man wa murder on th januari as public holiday all govt instituit are close includ post offic understand,135,25,0
lol i would but my mom would have a fit and tell the whole famili how crazi and terribl i am,92,21,0
ur rington servic ha chang free credit go to clubmobil com to choos content now stop txt club stop to p wk club po box mk wt,124,27,1
that cool i want to pleas you,29,7,0
ish minut wa minut ago wtf,26,6,0
doesn t g have class earli tomorrow and thu shouldn t be tri to smoke at,72,16,0
here is your discount code rp to stop further messag repli stop www regalportfolio co uk custom servic,102,18,1
when you get free call me,25,6,0
surli ill give it to you while come to review,45,10,0
so mani peopl seem to be special at first sight but onli veri few will remain special to you till your last sight maintain them till life end sh ja,147,30,0
i m alreadi back home so no probabl not,39,9,0
sorri im stil fuck after last nite went tobe at got up work at,62,14,0
what you think about me first time you saw me in class,54,12,0
dude sux for snake he got old and raiden got buff,49,11,0
ree entri in a weekli comp for a chanc to win an ipod txt pod to to get entri std txt rate t c s appli for detail,113,28,1
i wan na watch that movi,24,6,0
aah a cuddl would be lush i d need lot of tea and soup befor ani kind of fumbl,78,19,0
ok lor but buy wat,18,5,0
dear regret i cudnt pick call drove down frm ctla now at cochin home left mobil in car ent style ishtamayoo happi bakrid,120,23,0
do u konw waht is rael friendship im gving yuo an exmpel jsut ese tih msg evrey splle of tih msg is wrnog bt sitll yuo can ra it wihtuot ayn mitsak goodnight have a nice sleep sweet dream,187,39,0
it is onli yesterday true true,30,6,0
but we havent got da topic yet rite,35,8,0
would me smoke you out help us work through thi difficult time,62,12,0
ill be at your in about min but look out for me,47,12,0
sorri to be a pain is it ok if we meet anoth night i spent late afternoon in casualti and that mean i haven t done ani of y stuffmoro and that includ all my time sheet and that sorri,182,40,0
i think i am disturb her da,27,7,0
i love your ass do you enjoy doggi style,40,9,0
privat your account statement for show un redeem s i m point call identifi code expir,85,16,1
pl accept me for one day or am beg you chang the number,55,13,0
your opinion about me over jada kusruthi lovabl silent spl charact not matur stylish simpl pl repli,99,17,0
custom servic annonc you have a new year deliveri wait for you pleas call now to arrang deliveri,96,18,1
neither in sterm voic i m studi all fine with me not sure the thing will be resolv tho anyway have a fab hol,108,24,0
we re all get worri over here derek and taylor have alreadi assum the worst,75,15,0
it vl bcum more difficult,25,5,0
k k ani special today,21,5,0
jesu christ bitch i m tri to give you drug answer your fuck phone,65,14,0
ok so april cant wait,21,5,0
hey for me there is no leav on friday wait i will ask my superior and tell you,78,18,0
we will meet soon princess ttyl,31,6,0
sorri i ll call later,21,5,0
tri neva mate,13,3,0
aight can you text me the address,33,7,0
hello hun how ru it here by the way im good been on date with that guy i met in walkabout so far we have to meet up soon how everyon els,136,32,0
ha ha cool cool chikku chikku db,32,7,0
a gram usual run like a half eighth is smarter though and get you almost a whole second gram for,96,20,0
gsoh good with spam the ladi u could b a male gigolo join the uk s fastest grow men club repli oncal mjzgroup stop repli stop msg rcvd,134,28,1
hi technic support provid assist to us custom through call and email,68,12,0
yeah just open chat and click friend list then make the list easi as pie,72,15,0
went to pay rent so i had to go to the bank to authoris the payment,67,16,0
how izzit still rain,20,4,0
what u talk bout earli morn it s almost noon where your at,58,13,0
japanes proverb if one can do it u too can do it if none can do it u must do it indian version if one can do it let him do it if none can do it leav it and final kerala version if one can do it stop him do it if none can do it make a strike against it,251,62,0
thank again for your repli today when is ur visa come in and r u still buy the gucci and bag my sister thing are not easi uncl john also ha hi own bill so i realli need to think about how to make my own money later sha,218,49,0
enjoy ur life good night,24,5,0
wat time ü finish,17,4,0
wat r u do now,14,5,0
where are the garag key they aren t on the bookshelf,52,11,0
no need for the drug anymor,27,6,0
sunshin quiz wkli q win a top soni dvd player if u know which countri the algarv is in txt ansr to sp tyron,107,24,1
gud mrng dear have a nice day,29,7,0
where can download clear movi dvd copi,38,7,0
ok but knacker just came home and went to sleep not good at thi full time work lark,83,18,0
do u think that ani girl will propos u today by se ur bloodi funki shit fuck face asssssholeee,94,19,0
sad stori of a man last week wa my b day my wife did nt wish me my parent forgot n so did my kid i went to work even my colleagu did not wish,141,35,0
the length is e same but e top shorter n i got a fring now i thk i m not go liao too lazi dun wan distract u also,113,29,0
mum i ve sent you mani mani messag sinc i got here i just want to know that you are actual get them do enjoy the rest of your day,129,30,0
den wat will e schedul b lk on sun,34,9,0
you can never do noth,21,5,0
sit in mu wait for everyon to get out of my suit so i can take a shower,71,18,0
thank for send thi mental abil question,39,7,0
congrat that s great i want to tell you not to tell me your score co it might make me relax but it motiv me so thank for share,126,29,0
omg you can make a wed chapel in frontiervil whi do they get all the good stuff,79,17,0
anyth lar then ü not go home dinner,35,8,0
sorri sent blank msg again yup but tri do some seriou studi now,63,13,0
it s cool we can last a littl while get more ani time soon,58,14,0
mm you ask him to come it enough,32,8,0
for real tho thi suck i can t even cook my whole electr is out and i m hungri,77,19,0
i will send them to your email do you mind time per night,57,13,0
i m not come home dinner,24,6,0
anyway i m go shop on my own now co my si not done yet dun disturb u liao,73,19,0
didn t tri g and i decid not to head out,40,11,0
oh god i m gon na googl nearbi cliff now,40,10,0
can i m free,12,4,0
haha yeah oz is kind of a shitload,34,8,0
v aluabl a ffection l oveabl e ternal n obl t ruth i ntimat n atur e namou happi valentin day in advanc,103,23,0
aiyo co i sm ü then ü neva repli so i wait ü to repli lar i tot ü havent finish ur lab wat,90,24,0
k you are the onli girl wait in recept ah,41,10,0
what will we do in the shower babi,34,8,0
where r e meet tmr,18,5,0
tell rob to mack hi gf in the theater,37,9,0
how will i creep on you now _,29,8,0
nvm i m go to wear my sport shoe anyway i m go to be late leh,61,17,0
rct thnq adrian for u text rgd vatian,37,8,1
no break time one how i come out n get my stuff fr ü,52,14,0
lol alright i wa thinkin that too haha,38,8,0
just curiou becaus my cuz ask what i wa up to,45,11,0
haha but no money leh later got to go for tuition haha and look for empti slot for drive lesson,95,20,0
i accident brought em home in the box,37,8,0
same as kalli dismissi in nd test,33,7,0
i know i m lack on most of thi particular dramastorm s detail but for the most part i m not worri about that,108,24,0
oop am at my mum s in somerset bit far back tomo see you soon x,63,16,0
congrat nokia video camera phone is your call call cost ppm ave call min vari from mobil close post bcm ldn wcnxx,113,22,1
at what time should i come tomorrow,35,7,0
erutupalam thandiyachu,22,2,0
fun fact although you would think armand would eventu build up a toler or some shit consid how much he smoke he get fuck up in like hit,135,28,0
alright thank for the advic enjoy your night out i ma tri to get some sleep,75,16,0
meanwhil in the shit suit xavier decid to give us second of warn that samantha wa come over and is play jay s guitar to impress her or some shit also i don t think doug realiz i don t live here anymor,200,43,0
she said do u mind if i go into the bedroom for a minut ok i sed in a sexi mood she came out minut latr wid a cake n my wife,124,32,0
hey a guy i know is breath down my neck to get him some bud anyway you d be abl to get a half track to usf tonight,114,28,0
great new offer doubl min doubl txt on best orang tariff and get latest camera phone free call mobileupd free on now or stoptxt t cs,132,26,1
congrat mobil g videophon r your call now videochat wid ur mate play java game dload polyph music nolin rentl bx ip we p,120,24,1
good even sir al salam wahleykkum share a happi news by the grace of god i got an offer from tayseer tissco and i join hope you are fine inshah allah meet you sometim rakhesh visitor from india,193,38,0
wen ur lovabl bcum angri wid u dnt take it serious coz be angri is d most childish n true way of show deep affect care n luv kettoda manda have nice day da,155,34,0
k my roommat also want a dubsack and anoth friend may also want some so plan on bring extra i ll tell you when they know for sure,129,28,0
should i tell my friend not to come round til like ish,54,12,0
hey what how about your project start aha da,44,9,0
pl she need to dat slowli or she will vomit more,48,11,0
doubl your min txt on orang or price linerent motorola and sonyericsson with b tooth free nokia free call mobileupd on oroptout hvd,131,23,1
garbag bag egg jam bread hannaford wheat chex,45,8,0
yep the great loxahatche xma tree burn of start in an hour,58,12,0
still chanc there if you search hard you will get it let have a tri,67,15,0
if anyon call for a treadmil say you ll buy it make sure it work i found an ad on craigslist sell for,101,23,0
it normal hot mail com you see,30,7,0
in mca but not conform,22,5,0
me too babi i promis to treat you well i bet you will take good care of me,74,18,0
fuuuuck i need to stop sleepin sup,34,7,0
i am go to bed now prin,23,7,0
er yep sure prop,16,4,0
i dont understand your messag,29,5,0
oki thanx,9,2,0
i sent my score to sopha and i had to do secondari applic for a few school i think if you are think of appli do a research on cost also contact joke ogunrind her school is one me the less expens one,198,43,0
faith make thing possibl hope make thing work love make thing beauti may you have all three thi christma merri christma,119,21,0
she s fine good to hear from you how are you my dear happi new year oh,70,17,0
cool text me when you re readi,30,7,0
u sleep now or you go to take haha i got spi wat me onlin check n repli mail lor,80,20,0
and sever to you sir,20,5,0
sorri i ll call later,21,5,0
there is os call ubandu which will run without instal in hard disk you can use that os to copi the import file in system and give it to repair shop,147,31,0
i call you later afternoon onword mtnl servic get problem in south mumbai i can hear you but you cann t listen me,113,23,0
yo call me when you get the chanc a friend of mine want me to ask you about a big order,87,21,0
no but you told me you were go befor you got drunk,50,12,0
how much i gave to you morn,27,7,0
ok then r we meet later,23,6,0
download as mani rington as u like no restrict s choos u can even send yr buddi txt sir to,90,20,1
i am late so call you tomorrow morn take care sweet dream u and me ummifi bye,77,17,0
we tri to contact you re our offer of new video phone anytim ani network min half price rental camcord call or repli for deliveri wed,133,26,1
one of the joy in lifei wake up each daywith thought that somewheresomeon care enough tosend a warm morn greet,110,20,0
whi tire what special there you had,35,7,0
i had it alreadi sabarish ask me to go,38,9,0
congrat kano whr s the treat maga,33,7,0
k still are you love me,23,6,0
get lion england tone repli lionm mono or lionp poli more go www rington co uk the origin n best tone gbp network oper rate appli,129,26,1
when peopl see my msg they think iam addict to msging they are wrong bcoz they don t know that iam addict to my sweet friend bslvyl,131,27,0
last chanc claim ur worth of discount voucher today text shop to now savamob offer mobil t cs savamob pobox muz sub,115,22,1
where,5,1,0
ard like dat lor,16,4,0
freemsg month unlimit free call activ smartcal txt call to no subscriptngbp wk unlimit call help stop txt stop landlineonli,123,20,1
check mail i have mail varma and kept copi to you regard membership take care insha allah,89,17,0
am onli search for good dual sim mobil pa,41,9,0
whatev im pretti piss off,25,5,0
ceri u rebel sweet dreamz me littl buddi c ya moro who need bloke,65,14,0
camera you are award a sipix digit camera call fromm landlin deliveri within day,80,14,1
omw back to tampa from west palm you hear what happen,53,11,0
how s it feel mr your not my real valentin just my yo valentin even tho u hardli play,85,19,0
haha figur well i found the piec and priscilla s bowl,53,11,0
are you come to day for class,29,7,0
romant pari night flight from book now next year call ts cs appli,65,13,1
i ll pick you up at about pm to go to taunton if you still want to come,71,18,0
what do u want for xma how about free text messag a new video phone with half price line rental call free now on to find out more,129,28,1
pl i wont beliv god not onli jesu,33,8,0
say the year old with a man and money i m down to my last still wait for that check,83,20,0
even v good if somewhat event laden will fill you in don t you worri head ok but throat wreck see you at six then,113,25,0
k k i m go to tirunelvali thi week to see my uncl i alreadi spend the amount by take dress so onli i want money i will give it on feb,133,32,0
yup i ve finish c ü there,25,7,0
get readi for inch of pleasur,29,6,0
go fool dont cheat other ok,27,6,0
sorri i ll call later,21,5,0
custom place i wil cal u sir,28,7,0
it s that time of the week again ryan,37,9,0
no da vijay go to talk in jaya tv,33,9,0
done it but internet connect v slow and can t send it will tri again later or first thing tomo,94,20,0
i email yifeng my part oredi can ü get it fr him,48,12,0
k k where are you how did you perform,37,9,0
as per your request maangalyam alaipayuth ha been set as your callertun for all caller press to copi your friend callertun,122,21,0
you ll not rcv ani more msg from the chat svc for free hardcor servic text go to if u get noth u must age verifi with yr network tri again,138,31,1
come to me slave your do it again go into your shell and unconsci avoid me you are make me unhappi,98,21,0
y she dun believ leh i tot i told her it s true alreadi i thk she muz c us tog then she believ,94,24,0
in which place i can get room cheap,35,8,0
you avail now i m like right around hillsborough th,51,10,0
no i m not gon na be abl to too late notic i ll be home in a few week anyway what are the plan,94,25,0
i attend but noth is there,26,6,0
shop eh ger i toke abt syd leh haha,35,9,0
crucifi is c not s you should have told me earlier,50,11,0
lol they were mad at first but then they woke up and gave in,60,14,0
hey you around i ve got enough for a half the ten i owe you,59,15,0
hmm too mani of them unfortun pic obvious arent hot cake it kinda fun tho,73,15,0
don t forget who own you and who s privat properti you are and be my good boy alway passion kiss,96,21,0
my friend she s studi at warwick we ve plan to go shop and to concert tmw but it may be cancel havn t seen for age yeah we should get togeth sometim,148,33,0
oki,3,1,0
no but the bluray player can,28,6,0
do u knw di no,14,5,0
check with nuerologist,22,3,0
huh mean comput scienc y they like dat one push here n there,60,13,0
miss your call caus i wa yell at scrappi miss u can t wait for u to come home i m so lone today,95,24,0
recpt you have order a rington your order is be process,55,11,1
thank god they are in bed,25,6,0
not sure yet still tri to get a hold of him,43,11,0
today is sorri day if ever i wa angri with you if ever i misbehav or hurt you plz plz just slap urself bcoz it ur fault i m basic good,134,31,0
e admin build there i might b slightli earlier i ll call u when i m reach,73,17,0
you can jot down thing you want to rememb later,47,10,0
have your lunch and come quickli and open the door,50,10,0
u free on sat rite u wan watch infern affair wif me n darren n mayb xy,70,17,0
urgent thi is our nd attempt to contact u your prize from yesterday is still await collect to claim call now,108,21,1
we have sent jd for custom servic cum account execut to ur mail id for detail contact us,88,18,0
hello no news on job they are make me wait a fifth week yeah im up for some woozl and weasel in exet still but be home about,124,28,0
hi di is yiju i would be happi to work wif ü all for gek,56,15,0
nah i don t think he goe to usf he live around here though,58,14,0
orh i tot u say she now still dun believ,40,10,0
when where do i pick you up,27,7,0
carlo is down but i have to pick it up from him so i ll swing by usf in a littl bit,83,22,0
shall call now dear have food,29,6,0
urgent call from your landlin your complimentari ibiza holiday or cash await collect sae t cs po box sk wp ppm,110,21,1
umma my life and vava umma love you lot dear,44,10,0
stop call everyon say i might have cancer my throat hurt to talk i can t be answer everyon call if i get one more call i m not babysit on monday,144,32,0
hello as per request from rs ha been transfer to you,52,11,0
eatin my lunch,14,3,0
dude what s up how teresa hope you have been okay when i didnt hear from these peopl i call them and they had receiv the packag sinc dec just thot you ld like to know do have a fantast year and all the best with your read plu if you can realli realli bam first aid for usml then your work is done,296,64,0
i call and said all to him then he have to choos thi futur,58,14,0
nope wif my si lor aft bath my dog then i can bath look like it s go rain soon,78,20,0
santa call would your littl one like a call from santa xma eve call to book you time call ppm last min s t c www santacal com,125,28,1
no we sell it all so we ll have ton if coin then sell our coin to someon thru paypal voila money back in life pocket,116,26,0
messag from i am at truro hospit on ext you can phone me here as i have a phone by my side,90,22,0
as if i wasn t have enough troubl sleep,39,9,0
sound better than my even im just do my costum im not sure what time i finish tomorrow but i will txt you at the end,116,26,0
nationwid auto centr or someth like that on newport road i like them there,74,14,0
ya ok then had dinner,21,5,0
tri to do someth dear you read someth for exam,46,10,0
jo ask if u wana meet up,24,7,0
ow u dey i paid thousad i told u would call,43,11,0
ah well that confus thing doesnt it i thought wa friend with now mayb i did the wrong thing but i alreadi sort of invit tho he may not come co of money,151,33,0
don t b floppi b snappi happi onli gay chat servic with photo upload call p min stop our text call,98,21,1
noth lor a bit bore too then y dun u go home earli sleep today,62,15,0
goodmorn today i am late for decim min,38,8,0
i got a call from a landlin number i am ask to come to anna nagar i will go in the afternoon,92,22,0
beauti truth against graviti read care our heart feel light when someon is in it but it feel veri heavi when someon leav it goodmorn,132,25,0
wot u up thout u were gon na call me txt bak luv k,50,14,0
u have lunch alon i now so bore,31,8,0
i sent your maga that money yesterday oh,40,8,0
i think chennai well settl,26,5,0
you are chosen to receiv a award pl call claim number to collect your award which you are select to receiv as a valu mobil custom,129,26,1
ur award a citi break and could win a summer shop spree everi wk txt store to skilgm tscswinawk age perwksub,108,21,1
hi princess thank you for the pic you are veri pretti how are you,65,14,0
i ve got ani way i could pick up,32,9,0
mmm fuck merri christma to me,29,6,0
wife how she knew the time of murder exactli,44,9,0
i ask you to call him now ok,28,8,0
co darren say ü consid mah so i ask ü,37,10,0
da is good good player whi he is unsold,39,9,0
isn t frnd a neces in life imagin urself witout a frnd hw d u feel at ur colleg wat ll u do wth ur cell wat abt function thnk abt event esp ll care miss irrit u wrd it to all those dear love frnd wthout whom u cant live i jst did it takecar goodmorn,249,57,0
nice wait should you be text right now i m not gon na pay your ticket ya know,77,18,0
dunno lei shd b drive lor co i go sch hr oni,44,12,0
you re not sure that i m not tri to make xavier smoke becaus i don t want to smoke after be told i smoke too much,113,27,0
dear how you are you ok,23,6,0
and veri importantli all we discuss is between u and i onli,59,12,0
gud ni dear slp well take care swt dream muah,45,10,0
u guy never invit me anywher,28,6,0
pleas reserv ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve i alreadi see in net no ticket avail i want to book ticket through tackl,189,34,0
got it it look scrumptiou daddi want to eat you all night long,62,13,0
do you want anytim ani network min text and a new video phone for onli five pound per week call now or repli for deliveri tomorrow,130,26,1
free messag jamster get the crazi frog sound now for poli text mad for real text mad to crazi sound for just gbp week onli t c s appli,134,29,1
ok,2,1,0
didn t you get hep b immunis in nigeria,39,9,0
y lei,5,2,0
well i know z will take care of me so no worri,46,12,0
filthi stori and girl wait for your,35,7,1
yeah imma come over caus jay want to do some drug,49,11,0
is xy in ur car when u pick me up,33,10,0
hey are you go to quit soon xuhui and i work till end of the month,66,16,0
awesom think we can get an th at usf some time tonight,54,12,0
just glad to be talk to you,27,7,0
so let make it saturday or monday as per conveni,48,10,0
how come guoyang go n tell her then u told her,46,11,0
nvm it s ok,11,4,0
cab is avail they pick up and drop at door step,47,11,0
s now onli i took tablet reaction morn onli,43,9,0
no did you multimedia messag them or e mail,43,9,0
k k then watch some film,24,6,0
i will come with karnan car pleas wait till pm will directli goto doctor,72,14,0
rodger burn msg we tri to call you re your repli to our sm for a free nokia mobil free camcord pleas call now for deliveri tomorrow,131,27,1
pl send me your address sir,27,6,0
u realli pig leh sleep so much my dad wake me up at smth eat lunch today,72,17,0
should i have pick up a receipt or someth earlier,49,10,0
ok both our day so what are you make for dinner tonit am i invit,64,15,0
is she repli ha boy chang hi phone number,41,9,0
great news call freefon to claim your guarante cash or gift speak to a live oper now,84,17,1
short but cute be a good person but dont tri to prove it gud noon,65,15,0
she doesnt need ani test,24,5,0
play w comput aiyah i tok u lor,31,8,0
dear xxxxxxx u ve been invit to xchat thi is our final attempt to contact u txt chat to p msgrcvdhg suit land row wjhl ldn yr,125,27,1
ye that will be fine love you be safe,37,9,0
hard live chat just p min choos your girl and connect live call now cheap chat uk s biggest live servic vu bcmwcnxx,115,23,1
yeh indian wa nice tho it did kane me off a bit he he we shud go out a drink sometim soon mite hav go da work a laugh soon love pete x x,136,34,0
no need to buy lunch for me i eat maggi mee,43,11,0
can you let me know detail of fri when u find out co i m not in tom or fri mention chines thank,95,23,0
as per your request mell mell oru minnaminungint nurungu vettam ha been set as your callertun for all caller press to copi your friend callertun,144,25,0
aathi where are you dear,24,5,0
now am free call me pa,22,6,0
imagin life without me see how fast u are search me don t worri l m alway there to disturb u goodnoon,101,22,0
gr new servic live sex video chat on your mob see the sexiest dirtiest girl live on ur phone detail text horni to to cancel send stop to,136,28,1
thank for the vote now sing along with the star with karaok on your mobil for a free link just repli with sing now,114,24,1
tell my bad charact which u dnt lik in me i ll tri to chang in i ll add tat my new year resolut wait for ur repli be frank good morn,132,32,0
what happen in interview,24,4,0
urgent your mobil no xxxxxxxxx won a bonu caller prize on thi is the nd attempt to reach you call asap boxnqp ppm,113,23,1
hot live fantasi call now just p per min ntt ltd po box croydon cr wb is a nation rate call,91,21,1
oh oh wast den muz chiong on sat n sun liao,43,11,0
network technic support associ,30,4,0
sunshin quiz wkli q win a top soni dvd player if u know which countri the algarv is in txt ansr to sp tyron,107,24,1
get ur st rington free now repli to thi msg with tone gr top tone to your phone everi week just per wk opt out send stop,120,27,1
yeah right i ll bring my tape measur fri,40,9,0
you ve won your costa del sol holiday or await collect call now toclaim sae tc s pobox stockport skxh cost pm maxmin,116,23,1
then wat r u do now busi wif work,33,9,0
our brand new mobil music servic is now live the free music player will arriv shortli just instal on your phone to brows content from the top artist,148,28,1
can you pleas ask macho what hi price rang is doe he want someth new or use plu it he onli interfu in the blackberri bold or ani bb,131,29,0
exactli anyway how far is jide her to studi or just visit,57,12,0
lol for real she told my dad i have cancer,42,10,0
there are no other charg after transfer charg and you can withdraw anyhow you like,82,15,0
i could ask carlo if we could get more if anybodi els can chip in,65,15,0
misplac your number and wa send text to your old number wonder whi i ve not heard from you thi year all the best in your mcat got thi number from my atlanta friend,163,34,0
urgent we are tri to contact u today draw show that you have won a prize guarante call from land line claim c validhr onli,122,25,1
hmph go head big baller,23,5,0
